"Bifidobacterium adolescentis"
"Bifidobacterium angulatum"
"Bifidobacterium animalis"
"Bifidobacterium asteroides"
"Bifidobacterium biavatii"
"Bifidobacterium bifidum"
"Bifidobacterium bohemicum"
"Bifidobacterium bombi"
"Bifidobacterium boum"
"Bifidobacterium breve"
"Bifidobacterium callitrichos"
"Bifidobacterium catenulatum"
"Bifidobacterium choerinum"
"Bifidobacterium coryneforme"
"Bifidobacterium crudilactis"
"Bifidobacterium cuniculi"
"Bifidobacterium dentium"
"Bifidobacterium gallicum"
"Bifidobacterium gallinarum"
"Bifidobacterium kashiwanohense"
"Bifidobacterium longum"
"Bifidobacterium magnum"
"Bifidobacterium merycicum"
"Bifidobacterium minimum"
"Bifidobacterium mongoliense"
"Bifidobacterium pseudocatenulatum"
"Bifidobacterium pseudolongum"
"Bifidobacterium psychraerophilum"
"Bifidobacterium pullorum"
"Bifidobacterium reuteri"
"Bifidobacterium ruminantium"
"Bifidobacterium saeculare"
"Bifidobacterium saguini"
"Bifidobacterium scardovii"
"Bifidobacterium sp. 12_1_47BFAA"
"Bifidobacterium sp. 7101"
"Bifidobacterium sp. A11"
"Bifidobacterium sp. AGR2158"
"Bifidobacterium sp. MSTE12"
"Bifidobacterium stellenboschense"
"Bifidobacterium stercoris"
"Bifidobacterium subtile"
"Bifidobacterium thermacidophilum"
"Bifidobacterium thermophilum"
"Bifidobacterium tsurumiense"
"Bilophila sp. 4_1_30"
"Bilophila wadsworthia"
"Bizionia argentinensis"
"Blastococcus endophyticus"
"Blastococcus saxobsidens"
"Blastococcus sp. DSM 44205"
"Blastococcus sp. DSM 44268"
"Blastococcus sp. URHD0036"
"Blastomonas sp. AAP53"
"Blattabacterium punctulatus"
"Blattabacterium sp. (Blaberus giganteus)"
"Blattabacterium sp. (Blatta orientalis)"
"Blattabacterium sp. (Blattella germanica)"
"Blattabacterium sp. (Mastotermes darwiniensis)"
"Blattabacterium sp. (Nauphoeta cinerea)"
"Blattabacterium sp. (Panesthia angustipennis spadica)"
"Blattabacterium sp. (Periplaneta americana)"
"Blautia hansenii"
"Blautia producta"
"Blautia schinkii"
"Blautia sp. KLE 1732"
"Blautia sp. SF-50"
"Blautia wexlerae"
"Bordetella bronchiseptica"
"Bordetella hinzii"
"Bordetella holmesii"
"Bordetella pertussis"
"Bordetella petrii"
"Bordetella sp. FB-8"
"Bordetella trematum"
"Borrelia afzelii"
"Borrelia anserina"
"Borrelia bissettii"
"Borrelia burgdorferi"
"Borrelia coriaceae"
"Borrelia crocidurae"
"Borrelia garinii"
"Borrelia hermsii"
"Borrelia hispanica"
"Borrelia japonica"
"Borrelia miyamotoi"
"Borrelia parkeri"
"Borrelia persica"
"Borrelia sp. SV1"
"Borrelia spielmanii"
"Borrelia valaisiana"
"Bosea sp. 117"
